order_id,cus_first_name,cus_last_name,city,state,order_date,product_name,category_name,brand_name,store_name,sales_first_name,sales_last_name,quantity,revenue,pelanggan,pelanggan2,pelanggan3,sales,sales2,sales3
5,Arla,Ellis,Utica,NY,2016-01-03,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,599.99,Arla Ellis,Arla Ellis,Arla Ellis,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
5,Arla,Ellis,Utica,NY,2016-01-03,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene,Boyer,1,429.0,Arla Ellis,Arla Ellis,Arla Ellis,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
5,Arla,Ellis,Utica,NY,2016-01-03,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes,Marcelene,Boyer,2,3098.0,Arla Ellis,Arla Ellis,Arla Ellis,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
6,Sharyn,Hopkins,Baldwinsville,NY,2016-01-04,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,1099.98,Sharyn Hopkins,Sharyn Hopkins,Sharyn Hopkins,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
6,Sharyn,Hopkins,Baldwinsville,NY,2016-01-04,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,599.99,Sharyn Hopkins,Sharyn Hopkins,Sharyn Hopkins,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
6,Sharyn,Hopkins,Baldwinsville,NY,2016-01-04,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene,Boyer,1,449.0,Sharyn Hopkins,Sharyn Hopkins,Sharyn Hopkins,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
6,Sharyn,Hopkins,Baldwinsville,NY,2016-01-04,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Marcelene,Boyer,2,1999.98,Sharyn Hopkins,Sharyn Hopkins,Sharyn Hopkins,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
6,Sharyn,Hopkins,Baldwinsville,NY,2016-01-04,Trek Conduit+ - 2016,Electric Bikes,Trek,Baldwin Bikes,Marcelene,Boyer,2,5999.98,Sharyn Hopkins,Sharyn Hopkins,Sharyn Hopkins,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
7,Laureen,Paul,Bellmore,NY,2016-01-04,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,529.99,Laureen Paul,Laureen Paul,Laureen Paul,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
7,Laureen,Paul,Bellmore,NY,2016-01-04,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene,Boyer,2,858.0,Laureen Paul,Laureen Paul,Laureen Paul,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
7,Laureen,Paul,Bellmore,NY,2016-01-04,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Marcelene,Boyer,1,999.99,Laureen Paul,Laureen Paul,Laureen Paul,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
8,Leslie,Higgins,Saratoga Springs,NY,2016-01-04,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita,Daniel,1,269.99,Leslie Higgins,Leslie Higgins,Leslie Higgins,Venita Daniel,Venita Daniel,Venita Daniel
8,Leslie,Higgins,Saratoga Springs,NY,2016-01-04,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita,Daniel,2,1199.98,Leslie Higgins,Leslie Higgins,Leslie Higgins,Venita Daniel,Venita Daniel,Venita Daniel
9,Neil,Mccall,San Carlos,CA,2016-01-05,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya,Copeland,2,7999.98,Neil Mccall,Neil Mccall,Neil Mccall,Mireya Copeland,Mireya Copeland,Mireya Copeland
10,Alane,Munoz,Yonkers,NY,2016-01-05,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,269.99,Alane Munoz,Alane Munoz,Alane Munoz,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
11,Tarra,Guerrero,Auburn,NY,2016-01-05,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita,Daniel,2,539.98,Tarra Guerrero,Tarra Guerrero,Tarra Guerrero,Venita Daniel,Venita Daniel,Venita Daniel
11,Tarra,Guerrero,Auburn,NY,2016-01-05,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita,Daniel,2,1199.98,Tarra Guerrero,Tarra Guerrero,Tarra Guerrero,Venita Daniel,Venita Daniel,Venita Daniel
11,Tarra,Guerrero,Auburn,NY,2016-01-05,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Baldwin Bikes,Venita,Daniel,1,1799.99,Tarra Guerrero,Tarra Guerrero,Tarra Guerrero,Venita Daniel,Venita Daniel,Venita Daniel
12,Marvin,Mullins,San Diego,CA,2016-01-06,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Mireya,Copeland,1,1680.99,Marvin Mullins,Marvin Mullins,Marvin Mullins,Mireya Copeland,Mireya Copeland,Mireya Copeland
12,Marvin,Mullins,San Diego,CA,2016-01-06,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya,Copeland,2,5799.98,Marvin Mullins,Marvin Mullins,Marvin Mullins,Mireya Copeland,Mireya Copeland,Mireya Copeland
13,Patience,Clayton,Niagara Falls,NY,2016-01-08,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,269.99,Patience Clayton,Patience Clayton,Patience Clayton,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
13,Patience,Clayton,Niagara Falls,NY,2016-01-08,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,1199.98,Patience Clayton,Patience Clayton,Patience Clayton,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
13,Patience,Clayton,Niagara Falls,NY,2016-01-08,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,1199.98,Patience Clayton,Patience Clayton,Patience Clayton,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
13,Patience,Clayton,Niagara Falls,NY,2016-01-08,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene,Boyer,2,858.0,Patience Clayton,Patience Clayton,Patience Clayton,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
14,Maribel,William,Torrance,CA,2016-01-09,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,Santa Cruz Bikes,Genna,Serrano,1,469.99,Maribel William,Maribel William,Maribel William,Genna Serrano,Genna Serrano,Genna Serrano
15,Ellsworth,Michael,Carmel,NY,2016-01-09,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Venita,Daniel,2,599.98,Ellsworth Michael,Ellsworth Michael,Ellsworth Michael,Venita Daniel,Venita Daniel,Venita Daniel
15,Ellsworth,Michael,Carmel,NY,2016-01-09,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita,Daniel,2,1099.98,Ellsworth Michael,Ellsworth Michael,Ellsworth Michael,Venita Daniel,Venita Daniel,Venita Daniel
15,Ellsworth,Michael,Carmel,NY,2016-01-09,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Venita,Daniel,2,898.0,Ellsworth Michael,Ellsworth Michael,Ellsworth Michael,Venita Daniel,Venita Daniel,Venita Daniel
15,Ellsworth,Michael,Carmel,NY,2016-01-09,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Baldwin Bikes,Venita,Daniel,1,1799.99,Ellsworth Michael,Ellsworth Michael,Ellsworth Michael,Venita Daniel,Venita Daniel,Venita Daniel
16,Lea,Key,Banning,CA,2016-01-12,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,Santa Cruz Bikes,Genna,Serrano,1,269.99,Lea Key,Lea Key,Lea Key,Genna Serrano,Genna Serrano,Genna Serrano
16,Lea,Key,Banning,CA,2016-01-12,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Genna,Serrano,2,539.98,Lea Key,Lea Key,Lea Key,Genna Serrano,Genna Serrano,Genna Serrano
16,Lea,Key,Banning,CA,2016-01-12,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Genna,Serrano,1,269.99,Lea Key,Lea Key,Lea Key,Genna Serrano,Genna Serrano,Genna Serrano
16,Lea,Key,Banning,CA,2016-01-12,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Genna,Serrano,1,1799.99,Lea Key,Lea Key,Lea Key,Genna Serrano,Genna Serrano,Genna Serrano
17,Sindy,Anderson,Pomona,CA,2016-01-12,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,Santa Cruz Bikes,Genna,Serrano,1,299.99,Sindy Anderson,Sindy Anderson,Sindy Anderson,Genna Serrano,Genna Serrano,Genna Serrano
17,Sindy,Anderson,Pomona,CA,2016-01-12,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Genna,Serrano,2,1199.98,Sindy Anderson,Sindy Anderson,Sindy Anderson,Genna Serrano,Genna Serrano,Genna Serrano
17,Sindy,Anderson,Pomona,CA,2016-01-12,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,Santa Cruz Bikes,Genna,Serrano,1,1320.99,Sindy Anderson,Sindy Anderson,Sindy Anderson,Genna Serrano,Genna Serrano,Genna Serrano
17,Sindy,Anderson,Pomona,CA,2016-01-12,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Genna,Serrano,1,1799.99,Sindy Anderson,Sindy Anderson,Sindy Anderson,Genna Serrano,Genna Serrano,Genna Serrano
18,Lanita,Burton,Coachella,CA,2016-01-14,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Santa Cruz Bikes,Genna,Serrano,1,269.99,Lanita Burton,Lanita Burton,Lanita Burton,Genna Serrano,Genna Serrano,Genna Serrano
18,Lanita,Burton,Coachella,CA,2016-01-14,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,Santa Cruz Bikes,Genna,Serrano,2,999.98,Lanita Burton,Lanita Burton,Lanita Burton,Genna Serrano,Genna Serrano,Genna Serrano
18,Lanita,Burton,Coachella,CA,2016-01-14,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,Santa Cruz Bikes,Genna,Serrano,2,1499.98,Lanita Burton,Lanita Burton,Lanita Burton,Genna Serrano,Genna Serrano,Genna Serrano
18,Lanita,Burton,Coachella,CA,2016-01-14,Trek Conduit+ - 2016,Electric Bikes,Trek,Santa Cruz Bikes,Genna,Serrano,2,5999.98,Lanita Burton,Lanita Burton,Lanita Burton,Genna Serrano,Genna Serrano,Genna Serrano
18,Lanita,Burton,Coachella,CA,2016-01-14,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Genna,Serrano,1,3999.99,Lanita Burton,Lanita Burton,Lanita Burton,Genna Serrano,Genna Serrano,Genna Serrano
19,Norine,Huffman,Encino,CA,2016-01-14,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Mireya,Copeland,1,1549.0,Norine Huffman,Norine Huffman,Norine Huffman,Mireya Copeland,Mireya Copeland,Mireya Copeland
19,Norine,Huffman,Encino,CA,2016-01-14,Trek Conduit+ - 2016,Electric Bikes,Trek,Santa Cruz Bikes,Mireya,Copeland,2,5999.98,Norine Huffman,Norine Huffman,Norine Huffman,Mireya Copeland,Mireya Copeland,Mireya Copeland
20,Randee,Pitts,Canyon Country,CA,2016-01-14,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Santa Cruz Bikes,Mireya,Copeland,2,3098.0,Randee Pitts,Randee Pitts,Randee Pitts,Mireya Copeland,Mireya Copeland,Mireya Copeland
20,Randee,Pitts,Canyon Country,CA,2016-01-14,Trek Conduit+ - 2016,Electric Bikes,Trek,Santa Cruz Bikes,Mireya,Copeland,1,2999.99,Randee Pitts,Randee Pitts,Randee Pitts,Mireya Copeland,Mireya Copeland,Mireya Copeland
21,Neoma,Daugherty,Mount Vernon,NY,2016-01-15,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,269.99,Neoma Daugherty,Neoma Daugherty,Neoma Daugherty,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
21,Neoma,Daugherty,Mount Vernon,NY,2016-01-15,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene,Boyer,1,429.0,Neoma Daugherty,Neoma Daugherty,Neoma Daugherty,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
21,Neoma,Daugherty,Mount Vernon,NY,2016-01-15,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes,Marcelene,Boyer,1,1549.0,Neoma Daugherty,Neoma Daugherty,Neoma Daugherty,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
22,Tangela,Hurley,Campbell,CA,2016-01-16,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Santa Cruz Bikes,Mireya,Copeland,1,269.99,Tangela Hurley,Tangela Hurley,Tangela Hurley,Mireya Copeland,Mireya Copeland,Mireya Copeland
22,Tangela,Hurley,Campbell,CA,2016-01-16,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Mireya,Copeland,2,1059.98,Tangela Hurley,Tangela Hurley,Tangela Hurley,Mireya Copeland,Mireya Copeland,Mireya Copeland
23,Drucilla,Gilliam,Santa Clara,CA,2016-01-16,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,Santa Cruz Bikes,Mireya,Copeland,1,269.99,Drucilla Gilliam,Drucilla Gilliam,Drucilla Gilliam,Mireya Copeland,Mireya Copeland,Mireya Copeland
23,Drucilla,Gilliam,Santa Clara,CA,2016-01-16,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,Santa Cruz Bikes,Mireya,Copeland,2,599.98,Drucilla Gilliam,Drucilla Gilliam,Drucilla Gilliam,Mireya Copeland,Mireya Copeland,Mireya Copeland
23,Drucilla,Gilliam,Santa Clara,CA,2016-01-16,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Santa Cruz Bikes,Mireya,Copeland,2,5799.98,Drucilla Gilliam,Drucilla Gilliam,Drucilla Gilliam,Mireya Copeland,Mireya Copeland,Mireya Copeland
24,Ashton,Lott,Floral Park,NY,2016-01-18,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Venita,Daniel,2,898.0,Ashton Lott,Ashton Lott,Ashton Lott,Venita Daniel,Venita Daniel,Venita Daniel
24,Ashton,Lott,Floral Park,NY,2016-01-18,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Venita,Daniel,2,1999.98,Ashton Lott,Ashton Lott,Ashton Lott,Venita Daniel,Venita Daniel,Venita Daniel
25,Sam,Lester,Baldwin,NY,2016-01-18,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,269.99,Sam Lester,Sam Lester,Sam Lester,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
25,Sam,Lester,Baldwin,NY,2016-01-18,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,269.99,Sam Lester,Sam Lester,Sam Lester,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
25,Sam,Lester,Baldwin,NY,2016-01-18,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,269.99,Sam Lester,Sam Lester,Sam Lester,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
25,Sam,Lester,Baldwin,NY,2016-01-18,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,599.98,Sam Lester,Sam Lester,Sam Lester,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
25,Sam,Lester,Baldwin,NY,2016-01-18,Surly Straggler - 2016,Cyclocross Bicycles,Surly,Baldwin Bikes,Marcelene,Boyer,2,3098.0,Sam Lester,Sam Lester,Sam Lester,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
26,Jackeline,Colon,Wappingers Falls,NY,2016-01-18,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,Baldwin Bikes,Venita,Daniel,2,539.98,Jackeline Colon,Jackeline Colon,Jackeline Colon,Venita Daniel,Venita Daniel,Venita Daniel
26,Jackeline,Colon,Wappingers Falls,NY,2016-01-18,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,Baldwin Bikes,Venita,Daniel,1,549.99,Jackeline Colon,Jackeline Colon,Jackeline Colon,Venita Daniel,Venita Daniel,Venita Daniel
26,Jackeline,Colon,Wappingers Falls,NY,2016-01-18,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,Baldwin Bikes,Venita,Daniel,1,749.99,Jackeline Colon,Jackeline Colon,Jackeline Colon,Venita Daniel,Venita Daniel,Venita Daniel
26,Jackeline,Colon,Wappingers Falls,NY,2016-01-18,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,Baldwin Bikes,Venita,Daniel,1,3999.99,Jackeline Colon,Jackeline Colon,Jackeline Colon,Venita Daniel,Venita Daniel,Venita Daniel
27,Pamala,Henry,Bronx,NY,2016-01-19,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,Baldwin Bikes,Venita,Daniel,2,1199.98,Pamala Henry,Pamala Henry,Pamala Henry,Venita Daniel,Venita Daniel,Venita Daniel
27,Pamala,Henry,Bronx,NY,2016-01-19,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,Baldwin Bikes,Venita,Daniel,1,1320.99,Pamala Henry,Pamala Henry,Pamala Henry,Venita Daniel,Venita Daniel,Venita Daniel
27,Pamala,Henry,Bronx,NY,2016-01-19,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Venita,Daniel,1,449.0,Pamala Henry,Pamala Henry,Pamala Henry,Venita Daniel,Venita Daniel,Venita Daniel
27,Pamala,Henry,Bronx,NY,2016-01-19,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Baldwin Bikes,Venita,Daniel,1,1799.99,Pamala Henry,Pamala Henry,Pamala Henry,Venita Daniel,Venita Daniel,Venita Daniel
28,Eleni,Gordon,Richmond Hill,NY,2016-01-19,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,539.98,Eleni Gordon,Eleni Gordon,Eleni Gordon,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
28,Eleni,Gordon,Richmond Hill,NY,2016-01-19,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,Baldwin Bikes,Marcelene,Boyer,1,1320.99,Eleni Gordon,Eleni Gordon,Eleni Gordon,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
28,Eleni,Gordon,Richmond Hill,NY,2016-01-19,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Marcelene,Boyer,1,469.99,Eleni Gordon,Eleni Gordon,Eleni Gordon,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
28,Eleni,Gordon,Richmond Hill,NY,2016-01-19,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,Baldwin Bikes,Marcelene,Boyer,2,7999.98,Eleni Gordon,Eleni Gordon,Eleni Gordon,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
29,Laureen,Barry,Orchard Park,NY,2016-01-20,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,539.98,Laureen Barry,Laureen Barry,Laureen Barry,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
29,Laureen,Barry,Orchard Park,NY,2016-01-20,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,539.98,Laureen Barry,Laureen Barry,Laureen Barry,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
29,Laureen,Barry,Orchard Park,NY,2016-01-20,Electra Townie Original 21D - 2016,Comfort Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,2,1099.98,Laureen Barry,Laureen Barry,Laureen Barry,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
29,Laureen,Barry,Orchard Park,NY,2016-01-20,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,Baldwin Bikes,Marcelene,Boyer,1,469.99,Laureen Barry,Laureen Barry,Laureen Barry,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
29,Laureen,Barry,Orchard Park,NY,2016-01-20,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,Baldwin Bikes,Marcelene,Boyer,1,1799.99,Laureen Barry,Laureen Barry,Laureen Barry,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
30,Yvone,Guerrero,Merrick,NY,2016-01-20,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,Baldwin Bikes,Marcelene,Boyer,1,599.99,Yvone Guerrero,Yvone Guerrero,Yvone Guerrero,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
30,Yvone,Guerrero,Merrick,NY,2016-01-20,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene,Boyer,1,429.0,Yvone Guerrero,Yvone Guerrero,Yvone Guerrero,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
30,Yvone,Guerrero,Merrick,NY,2016-01-20,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,Baldwin Bikes,Marcelene,Boyer,1,449.0,Yvone Guerrero,Yvone Guerrero,Yvone Guerrero,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
30,Yvone,Guerrero,Merrick,NY,2016-01-20,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,Baldwin Bikes,Marcelene,Boyer,1,2899.99,Yvone Guerrero,Yvone Guerrero,Yvone Guerrero,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
30,Yvone,Guerrero,Merrick,NY,2016-01-20,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,Baldwin Bikes,Marcelene,Boyer,2,7999.98,Yvone Guerrero,Yvone Guerrero,Yvone Guerrero,Marcelene Boyer,Marcelene Boyer,Marcelene Boyer
31,Edgar,Quinn,Harlingen,TX,2016-01-20,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,Rowlett Bikes,Kali,Vargas,2,3361.98,Edgar Quinn,Edgar Quinn,Edgar Quinn,Kali Vargas,Kali Vargas,Kali Vargas
31,Edgar,Quinn,Harlingen,TX,2016-01-20,Trek Conduit+ - 2016,Electric Bikes,Trek,Rowlett Bikes,Kali,Vargas,2,5999.98,Edgar Quinn,Edgar Quinn,Edgar Quinn,Kali Vargas,Kali Vargas,Kali Vargas
